index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
3617,Seat,Seat Ibiza,C,2021,53067,Gasolina,110,AUTO,True,Albacete,4.06,1.78,1.44,1163,1165,-,195,10.0,5.5,127,1,5,13099
3618,Ford,Ford Fiesta,C,2018,144310,Diésel,85,MANUAL,False,Vizcaya,4.04,1.73,1.48,1117,984,-,175,12.5,3.5,93,2,5,9790
3619,Seat,Seat Arona,C,2021,73751,Gasolina,110,MANUAL,True,,4.14,1.78,1.55,1193,,-,190,10.3,4.8,121,2,5,13884
3620,Peugeot,Peugeot 2008,C,2017,60758,Diésel,100,MANUAL,True,Huelva,4.16,1.74,1.56,1160,1400,-,180,11.3,3.7,97,2,5,13700
3621,KIA,KIA Sportage,C,2016,46635,Gasolina,177,AUTO,False,Barcelona,4.48,1.86,1.65,1534,1480,-,201,9.1,7.5,175,2,5,21300
3622,Nissan,Nissan QASHQAI,ECO,2022,21860,Híbrido,158,AUTO,True,Barcelona,4.43,1.84,1.63,1511,1593,-,199,9.2,6.4,144,2,5,30990
3623,Mercedes,Mercedes GLA,C,2015,89385,Diésel,170,AUTO,False,Madrid,4.42,1.8,1.49,1535,1235,-,215,8.3,4.6,119,1,5,21900
3624,Mercedes,Mercedes GLA,C,2023,18308,Gasolina,136,AUTO,True,,4.41,1.83,1.62,1500,1430,-,200,9.6,6.6,150,2,5,41900
3625,Toyota,Toyota Auris,C,2017,99509,Gasolina,116,MANUAL,False,Málaga,4.33,1.76,1.48,1265,,-,200,10.1,4.8,112,2,5,13990
3626,KIA,KIA Carens,C,2016,100972,Diésel,115,MANUAL,True,Barcelona,4.53,1.81,1.61,1607,1694,-,181,13.0,4.5,117,1,5,14900
3627,KIA,KIA Sportage,C,2020,23761,Gasolina,132,MANUAL,False,Vizcaya,4.49,1.86,1.65,1490,1492,-,182,11.5,6.8,152,1,5,21200
3628,Seat,Seat León,C,2019,119779,Gasolina,150,AUTO,False,Barcelona,4.55,1.82,1.45,1294,1470,-,215,8.3,5.2,118,2,5,14421
3629,Citroën,Citroën C4,C,2022,469275,Diésel,110,MANUAL,False,Alicante,4.36,1.8,1.53,1335,1250,-,193,10.5,4.4,115,2,5,14421
3630,Opel,Opel Grandland X,C,2019,41724,Gasolina,130,MANUAL,True,,4.48,1.86,1.61,1370,1652,-,188,10.1,5.2,116,2,5,15990
3631,Toyota,Toyota Yaris,ECO,2017,131635,Híbrido,100,AUTO,False,Málaga,3.95,1.7,1.51,1165,768,-,165,11.8,3.3,75,2,5,12800
3632,Volkswagen,Volkswagen Golf,C,2018,98854,Gasolina,150,MANUAL,False,Valencia,4.26,1.79,1.49,1294,1270,-,216,8.3,5.1,116,2,5,19290
3633,Opel,Opel Mokka,C,2021,65344,Gasolina,130,MANUAL,False,Ciudad,4.15,1.79,1.53,1275,1060,-,202,9.1,5.6,124,2,5,19200
